hotel_id,nome,old_destino_id,pais_code,razao
301311,[[Beijing Capital Airport,22974,,
301312,[[Beijing Daxing International Airport,22974,,
301313,[[Gimhae International Airport,22974,,
301314,[[Indira Gandhi International Airport,22974,,
301315,[[Hamad International Airport,22974,,
301316,[[Dubai International Airport,22974,,
301317,[[Guangzhou Baiyun International Airport,22974,,
301318,[[Hong Kong International Airport,22974,,
301319,[[Soekarno-Hatta International Airport,22974,,
301320,[[Kuala Lumpur International Airport,22974,,
301321,[[Ninoy Aquino International Airport,22974,,
301322,[[Kualanamu International Airport,22974,,
301323,[[Chhatrapati Shivaji Maharaj International Airport,22974,,
301324,[[Chubu Centrair International Airport,22974,,
301325,[[Kansai International Airport,22974,,
301326,[[Incheon International Airport,22974,,
301327,[[Shanghai Pudong International Airport,22974,,
301328,[[Singapore Changi Airport,22974,SG,pais
301329,[[Taiwan Taoyuan International Airport,22974,,
301330,[[Ben Gurion Airport]] (,22974,,
301331,[[Tokyo Haneda Airport,22974,,
301332,[[Tokyo Narita Airport,22974,,
301333,[[Schiphol Airport]] (,22974,NL,bracket
301334,[[Barcelona El Prat Airport,22974,,
301335,[[Berlin Brandenburg International Airport,22974,,
301336,[[Copenhagen Airport]] (,22974,SE,bracket
301337,[[Dublin Airport]],22974,IE,bracket
301338,[[Frankfurt Airport]] (,22974,DE,bracket
301339,[[Helsinki Airport]] (,22974,FI,bracket
301340,[[Istanbul New Airport,22974,,
301341,[[Lisbon Airport]] (,22974,PT,bracket
301342,[[Heathrow Airport]] (,22974,GB,bracket
301343,[[Gatwick Airport]] (,22974,GB,bracket
301344,[[Stansted Airport]] (,22974,,
302211,Maison Guiette,23042,,
302213,Cité Frugès,23042,,
302214,Villa Savoye et loge du jardiner,23042,,
302215,Immeuble locatif à la Porte Molitor,23042,,
302216,Unité d’habitation,23042,,
302217,La Manufacture à Saint-Dié,23042,,
302218,Chapelle Notre-Dame-du-Haut de Ronchamp,23042,,
302219,Cabanon de Le <!--(sic)--> Corbusier,23042,,
302220,Couvent Sainte-Marie-de-la-Tourette,23042,,
302221,Maison de la Culture de Firminy,23042,,
302222,Weissenhof Estate,23042,,
302224,National Museum of Western Art,23042,,
302225,Villa Le Lac,23042,,
304288,Museum Kura Hulanda,23214,,
304290,Bois Caïman,23214,,
304293,Abraham Lincoln Presidential Library and Museum,23214,,
304295,Whitney Plantation,23214,,
304296,Evergreen Plantation,23214,,
306595,The final race at Terminal Island,23433,,
308947,[[London]],23603,CA,bracket
308948,[[Liverpool]],23603,GB,bracket
308949,Rock and Roll Hall of Fame and Museum,23603,US,cidade
308950,Memphis Rock 'n' Soul Museum,23603,US,cidade
308951,Graceland,23603,,
308952,Buddy Holly Crash Site,23603,,
308953,Bethel Woods Center for the Arts,23603,,
308954,ABBA the Museum,23603,,
308955,Finnish Music Hall of Fame,23603,,
308956,Metallica House,23603,,
308957,Blueberry Hill,23603,,
308958,Bodom Bar & Sauna,23603,,
317912,Military Manpower Administration,24303,,
317915,Famagusta/Larnaca Enlistment Office,24303,,
318843,[[Antarctica]],24368,,
318844,[[Tierra del Fuego]],24368,AR,bracket
318845,[[Falkland Islands]],24368,GB,bracket
318846,"[[Phillip Island]], Victoria",24368,AU,bracket
318847,"Penguin Island, [[Rockingham (Western Australia)",24368,AU,pais
318848,[[Tasmania]],24368,,
318849,"[[Macquarie Island]], Tasmania",24368,,
318850,[[New Zealand]],24368,NZ,bracket
318851,South Africa,24368,ZA,pais
318852,[[Galapagos Islands]],24368,BR,bracket
318853,[[Kangaroo Island]],24368,AU,bracket
318854,[[Great Australian Bight Marine Park]],24368,AU,bracket
323686,[[Aachen,24748,,
323687,[[Avignon]],24748,FR,bracket
323688,[[Barcelona]],24748,VE,bracket
323689,[[Battle]],24748,GB,bracket
323690,[[Bremen]],24748,DE,bracket
